,comment,cl_comment,wordlist,emojis,sent_num,sent,user,mentioned,likes
3159,Wow,wow,['wow'], ,0.5859,pos,shakirshaikhsabirsabir, ,0
3160,On what are you standing ?😮,stand,['stand'],😮,0.1388888888888889,neu,ortalnissani, ,0
3161,Looking amazingly beautiful ❤️,look amazingli beauti,"['look', 'amazingli', 'beauti']",❤,0.1865217391304348,neu,topcat_tom_81, ,0
3162,❤️❤️, ,[],❤❤,0.7460869565217392,neu,itxhamza710, ,0
3163,Nutte,nutt,['nutt'], ,0.0,neu,stein_hansjurgen, ,0
3164,Nice face and look best better aapka photo dekhkar mujhe bahut achcha lagta hai yaar aap ki bahut hi khubsurat hai,nice face look best better aapka photo dekhkar mujh bahut achcha lagta hai yaar aap ki bahut hi khubsurat hai,"['nice', 'face', 'look', 'best', 'better', 'aapka', 'photo', 'dekhkar', 'mujh', 'bahut', 'achcha', 'lagta', 'hai', 'yaar', 'aap', 'ki', 'bahut', 'hi', 'khubsurat', 'hai']", ,0.872,pos,m.lover48, ,0
3165,❤️😍, ,[],❤😍,0.7120118695173565,neu,sos1912525, ,0
3166,Hindi🔥🔥🔥🔥🔥,hindi,['hindi'],🔥🔥🔥🔥🔥,0.11648745519713259,neu,deepakmanoj30, ,0
3167,Hi,hi,['hi'], ,0.0,neu,badg_irl6131, ,0
3168,Hi,hi,['hi'], ,0.0,neu,badg_irl6131, ,0
3169,😍😍, ,[],😍😍,0.6779367825129737,neu,_hass_huss_9_6, ,0
3170,❤️❤️❤️😍😍, ,[],❤❤❤😍😍,0.718826886918233,neu,voo56, ,0
3171,Mükemmelsin kullanmak isterim,mkemmelsin kullanmak isterim,"['mkemmelsin', 'kullanmak', 'isterim']", ,0.0,neu,ismail.sunkar, ,0
3172,🏆🔛🏆📸💋, ,[],🏆🔛🏆📸💋,0.6847789665038745,neu,j.1.0.3.5, ,0
3173,🙌🙌🙌🙌🙌, ,[],🙌🙌🙌🙌🙌,0.5604249667994687,neu,vijvijay5224, ,0
3174,Hi i,hi,['hi'], ,0.0,neu,vijvijay5224, ,0
3175,repulsive,repuls,['repuls'], ,0.0,neu,weeziedavis, ,0
3176,❤️, ,[],❤,0.7460869565217392,neu,_mia.mour, ,0
3177,❤️, ,[],❤,0.7460869565217392,neu,_mia.mour, ,0
3178,You’re so beautiful 😍 my fav Kardashian,beauti fav kardashian,"['beauti', 'fav', 'kardashian']",😍,0.5135841956282434,pos,db_samantha, ,0
3179,Ya look so happy haha,ya look happi haha,"['ya', 'look', 'happi', 'haha']", ,0.4588,pos,mike_wells81, ,0
3180,👏🙌❤️, ,[],👏🙌❤,0.6090199561755624,neu,evidencegeorge__, ,0
3181,Ok. I Need your Number,ok need number,"['ok', 'need', 'number']", ,0.3612,neu,evidencegeorge__, ,0
3182,"Initially I deposited $2,000 and in a couple of days I got $21,000 her credibility can't be overlooked @helen__grayson_",initi deposit coupl day got credibl ca not overlook,"['initi', 'deposit', 'coupl', 'day', 'got', 'credibl', 'ca', 'not', 'overlook']", ,0.0,neu,charlotte.james.6,helen__grayson_ ,0
3183,😮😮😮😮😮😮, ,[],😮😮😮😮😮😮,0.27777777777777773,neu,muhib8149, ,0
3184,So sexy girl,sexi girl,"['sexi', 'girl']", ,0.0,neu,muhib8149, ,0
3185,Hot,hot,['hot'], ,0.0,neu,bablu_t_159, ,0
3186,😍ysige8dg8dgeiw🔥vsuwgi,ysigedgdgeiwvsuwgi,['ysigedgdgeiwvsuwgi'],😍🔥,0.2725739095831776,neu,lorencebareda, ,0
3187,Good pics,good pic,"['good', 'pic']", ,0.4404,pos,rayragenious7, ,0
3188,😍😍😍, ,[],😍😍😍,0.6779367825129737,neu,aljonparalejas, ,0
3189,Ridiculous,ridicul,['ridicul'], ,0.0,neu,kmcgarryco, ,0
3190,❤️❤️🙌😂 my love,love,['love'],❤❤🙌😂,0.5820934567236161,pos,nities.kumar.311, ,0
3191,😍, ,[],😍,0.6779367825129737,neu,elpitipelon, ,0
3192,fine azz,fine azz,"['fine', 'azz']", ,0.2023,neu,justinchancellor55, ,0
3193,🔥🔥🔥🔥🔥, ,[],🔥🔥🔥🔥🔥,0.1397849462365591,neu,bd.lhmyd3910, ,0
3194,❤️, ,[],❤,0.7460869565217392,neu,glmrswl5400, ,0
3195,Hello,hello,['hello'], ,0.0,neu,glmrswl5400, ,0
3196,Nice,nice,['nice'], ,0.4215,pos,sagarchauhan1129, ,0
3197,I love to go to bed with  you,love go bed,"['love', 'go', 'bed']", ,0.6369,pos,nvbtgjf, ,0
3198,😢, ,[],😢,0.0066755674232309,neu,kamila.syahda.1, ,0
3199,Yummmy ❤️❤️❤️,yummmi,['yummmi'],❤❤❤,0.5595652173913044,neu,roy_scherer_1961, ,0
3200,❤️, ,[],❤,0.7460869565217392,neu,qrwuryr, ,0
3201,DH fh,dh fh,"['dh', 'fh']", ,0.0,neu,abhjkushvah, ,0
3202,Que pedo,que pedo,"['que', 'pedo']", ,0.0,neu,raptorsita4, ,0
3203,Wow beautiful mami  and ur so sexy mija,wow beauti mami ur sexi mija,"['wow', 'beauti', 'mami', 'ur', 'sexi', 'mija']", ,0.5859,pos,jose.tejeda.47, ,0
3204,Superb beautiful ❤️❤️❤️❤️❤️,superb beauti,"['superb', 'beauti']",❤❤❤❤❤,0.7114621118012423,pos,cskngp, ,0
3205,😍😍😢👏👏🔥😮😮, ,[],😍😍😢👏👏🔥😮😮,0.3873731905815314,neu,kiirt.tthaakur, ,0
3206,Hello,hello,['hello'], ,0.0,neu,ankitkumarsony09, ,0
3207,Ki i,ki,['ki'], ,0.0,neu,manoj9610singh, ,0
3208,Hello,hello,['hello'], ,0.0,neu,manoj9610singh, ,0
3209,Beauty as always 🔥🔥🔥🔥🔥..Still looking. Puerto Rican...even tho u not..Much Lobe too you and yr Fam ...,beauti alway still look puerto rican even tho u not much lobe yr fam,"['beauti', 'alway', 'still', 'look', 'puerto', 'rican', 'even', 'tho', 'u', 'not', 'much', 'lobe', 'yr', 'fam']",🔥🔥🔥🔥🔥,0.03678551216751555,neu,joey.santiago.142035, ,0
3210,Very smart......as so nice,smart nice,"['smart', 'nice']", ,0.6705,pos,awadheshkumar981, ,0
3211,Lovl,lovl,['lovl'], ,0.0,neu,sherrsinghh2, ,0
3212,pretty,pretti,['pretti'], ,0.0,neu,jamminjames007, ,0
